,Corr.,ExtraTrees,KBest,Lasso,Linear reg,RF,RFE,Ridge,Stability,Mean
ft_01_isbn,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.03,0.0,0.09
ft_02_isbn_pubname,0.0,0.0,0.0,0.0,1.0,0.0,0.61,0.0,0.0,0.18
ft_03_isbn_countryname,0.0,0.0,0.0,0.0,0.8,0.0,0.26,0.0,0.0,0.12
ft_04_lccn,0.0,0.0,0.0,0.0,0.02,0.0,0.65,0.0,0.0,0.07
ft_10_title,0.0,0.09,0.0,0.0,0.0,0.0,0.7,0.08,0.0,0.1
ft_11_statement_of_responsibility,0.01,0.17,0.0,0.0,0.0,0.01,1.0,0.22,0.0,0.16
ft_12_publisher_place,0.07,0.54,0.0,0.0,0.0,0.0,1.0,0.54,0.0,0.24
ft_13_publisher_name,0.13,1.0,0.0,0.0,0.0,0.43,1.0,1.0,0.0,0.4
ft_14_publication_date,0.0,0.02,0.0,0.0,0.0,0.0,1.0,0.03,0.0,0.12
ft_15_content_code,0.0,0.0,0.0,0.0,0.68,0.0,0.39,0.0,0.0,0.12
ft_16_content_type_term,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.11
ft_17_content_source,0.0,0.0,0.0,0.0,0.1,0.0,0.48,0.0,0.0,0.06
ft_18_media_code,0.03,0.15,0.0,0.0,0.0,0.0,1.0,0.28,0.0,0.16
ft_19_media_type_term,0.0,0.9,0.0,0.0,0.0,0.0,1.0,0.54,0.0,0.27
ft_20_media_source,0.0,0.0,0.0,0.0,0.55,0.0,0.43,0.0,0.0,0.11
ft_21_carrier_code,0.0,0.0,0.0,0.0,0.31,0.0,0.57,0.0,0.0,0.1
ft_22_topical_term,0.01,0.06,0.0,0.0,0.0,0.0,1.0,0.07,0.0,0.13
ft_23_form_subdivision,0.01,0.13,0.0,0.0,0.0,0.0,1.0,0.04,0.0,0.13
ft_24_heading_source,0.0,0.0,0.0,0.0,0.2,0.0,0.35,0.0,0.0,0.06
ft_25_authority_record_control_num,0.0,0.0,0.0,0.0,0.16,0.0,0.52,0.0,0.0,0.08
ft_26_geographical_subdivision,0.0,0.02,0.0,0.0,0.0,0.0,0.87,0.1,0.0,0.11
ft_27_geo_name,0.0,0.02,0.0,0.0,0.0,0.0,0.91,0.06,0.0,0.11
ft_28_geo_source_of_headingwterm,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.04
ft_29_geo_arn,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.01
ft_2_physical_desc,0.02,0.08,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.14
ft_30_genre,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.01
ft_31_host_item,0.0,0.16,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.16
ft_32_series_title,0.0,0.07,0.0,0.0,0.0,0.0,0.74,0.08,0.0,0.1
ft_33_series_volume,0.0,0.01,0.0,0.0,0.0,0.0,0.83,0.02,0.0,0.1
ft_34_form_data,0.0,0.21,0.0,0.0,0.0,0.0,1.0,0.17,0.0,0.15
ft_35_source_of_term,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
ft_36_index_arn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ft_3_place,0.0,0.04,0.0,0.0,0.0,0.0,1.0,0.07,0.0,0.12
ft_4_language,0.02,0.2,0.0,0.0,0.0,0.0,1.0,0.35,0.0,0.17
ft_5_catalogue_source,0.05,0.42,0.0,0.0,0.0,0.0,1.0,0.17,0.0,0.18
ft_8_personal_name,0.0,0.06,0.0,0.0,0.0,0.0,0.96,0.03,0.0,0.12
ft_9_relation,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.02
